Candidate Number,Forvus index number,Surname,Forename,Gender,Date of birth,AGE,Pupil Inclusion Status Flag,Pupil included in progress 8 calculations,DfE Establishment Number,School URN,UPN,SEN,Has the pupil been eligible for FSM in the last 6 years?,Is the pupil looked after?,Post Looked After Arrangements,Is the pupil disadvantaged?,EAL Group,KS2 Prior Band,Student's ethnicity,Deprivation indicator - IDACI score,Did the pupil join within the last 2 yrs?,English Bacc 9-4?,English Bacc 9-5?,English and maths GCSEs 9-4?,English and maths GCSEs 9-5?,Entries,GCSE Entries,Entry English EBacc,Entry Maths EBacc,Entry Science EBacc,Entry Humanities EBacc,Entry Language EBacc,Entry ALL EBacc,Achieved English EBacc 9-4,Achieved English EBacc 9-5,Achieved Maths EBacc 9-4,Achieved Maths EBacc 9-5,Achieved Science EBacc,Achieved Humanities EBacc,Achieved Language EBacc,Entry triple science,Entry multiple languages,Entered all three core science pathway subjects,KS2 Reading TA level,KS2 Mathematics TA level,KS2 Reading PS,KS2 Maths PS,Prior attainment score in English and mathematics,Score achieved in English,Score achieved in mathematics,Score achieved in 1st EBacc slot,Score achieved in 2nd EBacc slot,Score achieved in 3rd EBacc slot,Score achieved in 1st open slot,Score achieved in 2nd open slot,Score achieved in 3rd open slot,Attainment 8 score,EBacc slots filled,Open slots filled,Pupil progress 8 score,Progress 8 score for English,Progress 8 score for mathematics,Score achieved in Ebacc slots,Progress 8 score for Ebacc slots,Score achieved in open slots,Progress 8 score for open slots,Total score achieved in open slots - GCSEs only,Total score achieved in open slots - non-GCSEs only,Science EBacc PS (VA),Humanities EBacc PS (VA),Language EBacc PS (VA),KS2-4 predicted PS for 'EBacc Science' VA,EBacc Science' VA score,KS2-4 predicted PS for 'EBacc Humanities' VA,EBacc Humanities' VA score,KS2-4 predicted PS for 'EBacc Language' VA,EBacc Language' VA score,Pupil level Maths pathway flag,Pupil level English pathway flag,Pupil level Science pathway flag,Maths exclude previous school,English exclude previous school,Science exclude previous school
,,,,F,,15,401,1,780633584,,a3d771fd-806d-4c1c-8c7a-14f51fe88729,N,0,0,0,0,1,4,WBRI,0,0,,,Y,,7,9,1,1,,,,,,,1,,,,,1,,,5,5,3,3,5,14,11,3,4,2,5,5,6,44,2,2,0,-1,0,7,0,11,0,8,2,2,2,2,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,658509468,,6850bec0-bb83-426c-b25d-a79af06caa7c,N,0,0,0,0,2,2,WOTH,0,0,Y,Y,Y,Y,9,6,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5,5,5,5,5,5,11,9,4,3,8,6,5,71,3,3,0,0,1,23,1,22,0,12,10,4,5,5,5,1,5,0,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,702698726,,d988456b-02c4-426f-b01f-7295dc226799,N,0,0,0,0,1,3,APKN,0,0,,,Y,,7,9,1,1,1,,,,1,,1,,,,,,,,4,5,3,4,4,6,1,3,0,0,2,2,0,12,3,3,-1,0,-1,4,0,7,-1,14,0,0,0,0,2,-1,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,699209159,,58a83805-cc41-4bfa-9706-e63611760077,N,0,0,0,0,1,3,WBRI,0,0,,,Y,Y,8,9,1,1,1,1,1,,1,1,1,1,1,1,,1,,,5,5,5,5,5,15,15,6,5,5,7,4,3,63,3,2,0,-1,0,18,0,17,0,13,4,4,5,4,6,1,5,1,5,-1,0,0,0,0,0,0
,,,,F,,15,401,1,786558196,,e5c59eaf-a4df-40ee-95c9-e244f1149205,N,0,0,0,0,1,3,APKN,0,0,,,Y,Y,8,10,1,1,1,,1,,1,1,1,,,,1,,,,5,5,5,4,4,14,2,4,2,1,3,4,2,36,2,3,0,2,-1,8,0,9,-1,12,2,2,0,4,3,0,,,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,646377555,,581def64-fdc7-42cd-9ca4-2a978e9573d8,K,0,0,0,0,2,3,WBRI,0,0,,,Y,Y,9,10,1,1,,,,1,1,1,,,,,,,,,4,5,4,3,4,17,1,3,1,0,4,3,2,32,2,3,0,4,0,4,0,11,0,12,2,0,0,1,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,688125253,,2021676d-4617-45e9-88a5-ef6286a566b5,N,0,0,0,0,2,3,WBRI,0,0,,,Y,Y,7,8,,1,1,1,,,1,1,1,1,1,1,,1,,,4,4,4,4,5,7,13,7,7,7,7,6,4,67,3,3,0,-1,1,21,2,19,0,16,0,7,6,2,6,0,5,1,,,0,0,0,0,0,0
,,,,M,,15,401,1,581301153,,4666adaa-17bd-4c56-b815-0f92e669a3a7,N,1,0,0,1,1,3,APKN,0,0,,,,Y,8,11,1,1,,1,,,,1,1,1,1,1,,1,,,4,4,5,4,5,15,13,5,6,5,5,5,4,47,3,2,1,0,1,15,1,14,0,21,0,1,8,3,5,1,5,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,688110997,,6c64a12e-ff3d-4487-bdd8-96755a3d56c5,N,0,0,0,0,1,3,APKN,0,0,Y,Y,Y,Y,8,9,1,1,1,1,1,1,1,1,,,1,1,1,1,,,5,4,5,5,4,16,14,8,8,7,8,7,5,75,3,2,1,1,0,22,2,24,2,21,0,7,7,9,4,2,4,3,4,0,0,0,0,0,0,0
,,,,M,,15,401,1,725197358,,6fbe0c3a-10c4-422d-a565-11f3fcab2cbd,N,1,0,0,1,1,3,WBRI,0,0,,,Y,Y,8,9,1,1,,,1,1,1,1,1,1,1,,1,,,,5,5,5,5,5,9,4,6,1,1,6,3,1,32,2,2,-1,0,-2,13,-1,11,0,3,7,1,0,7,,,,,5,-2,0,0,0,0,0,0
,,,,M,,15,401,0,607940527,,7b0ff86e-b891-4532-bfac-f864d73433fc,N,0,0,0,0,1,4,WBRI,0,0,,,,Y,6,9,,1,1,1,1,,,1,1,1,1,1,,1,,,5,,2,1,,1,13,5,5,6,5,4,1,34,3,2,,,,14,,12,,7,3,7,6,4,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,627490560,,f745332a-4ca6-42aa-9f57-f7fe7de95419,N,0,0,0,0,2,2,MWBC,0,0,Y,Y,Y,,7,10,1,1,,1,,,1,,,1,,,,,,,3,,3,4,4,12,14,1,2,2,3,3,3,28,2,2,0,0,0,2,-1,8,-1,5,4,0,5,3,,,4,-1,,,0,0,0,0,0,0
,,,,F,,15,401,1,622960267,,0152cbf9-34a7-461c-844c-f17455a44665,N,0,0,0,0,1,1,WBRI,0,0,,,,,8,9,1,1,1,1,,,,,,,,1,,,,,,3,2,3,1,3,3,2,0,2,4,2,0,15,3,2,0,0,0,5,1,8,0,6,0,0,4,0,1,0,1,2,,,0,0,0,0,0,0
,,,,F,,15,401,1,754263103,,2723d53a-4abc-47a8-ae5d-435daf0a99a6,K,1,0,0,1,2,4,AIND,0,0,Y,Y,Y,,11,10,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,5,5,3,3,5,17,10,7,6,3,9,7,5,74,2,3,0,1,0,21,0,23,0,21,2,6,2,4,6,0,,,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,699221386,,786fbc1d-31e3-41e6-9af7-46cfd71d440a,N,0,0,0,0,2,2,AIND,0,0,,,,,6,6,1,1,1,,,,,,,,,,,,,,5,4,4,3,4,9,3,3,1,1,4,2,0,19,2,2,0,1,-1,5,0,8,0,1,6,2,1,2,4,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,820098792,,fd2b0e91-3fa2-428c-891f-127c0c09df67,N,0,0,0,0,2,3,APKN,0,0,,Y,Y,Y,11,9,1,1,1,1,1,,1,1,1,1,1,,,1,,,5,5,5,5,5,15,11,9,6,5,8,6,6,73,3,3,0,0,-1,23,0,22,0,15,6,5,5,3,5,1,5,-1,4,0,0,0,0,0,0,0
,,,,M,,15,401,1,699376878,,a315ddc3-d348-4b1b-a7ed-0332e7c2b3ed,N,0,0,0,0,2,2,WBRI,0,0,,,Y,,6,7,1,1,1,,,,,,,,,,,,,,5,4,4,4,4,3,3,0,0,0,2,0,0,4,2,2,-2,-1,0,0,-2,2,-3,1,3,2,0,0,2,-1,,,,,0,0,0,0,0,0
,,,,F,,15,401,0,814072809,,ebc5d4a1-6245-4b56-933f-cac66a2b4d46,N,0,0,0,0,1,4,WBRI,0,0,Y,Y,Y,Y,12,11,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5,4,0,0,,18,18,10,8,7,9,9,8,86,3,3,,,,27,,27,,27,0,8,8,4,6,0,5,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,656269784,,13a2a454-7665-4cfe-a869-9d987a7fea15,N,0,0,0,0,1,3,WOTH,0,0,Y,Y,,,9,8,,1,1,1,1,,,,1,1,1,1,1,1,,,5,5,4,4,5,5,15,6,7,7,7,7,7,69,3,3,0,-4,0,22,0,21,0,15,3,7,5,7,5,0,,,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,678607776,,2e99d18b-516f-4a09-b5a6-48831030c1af,N,0,0,0,0,1,2,WBRI,0,0,,,,,10,10,1,1,1,1,,,,,,,1,1,,,,,,5,5,4,4,8,10,4,5,6,5,4,5,45,3,3,1,1,0,15,2,14,1,9,3,6,6,1,3,1,2,2,,,0,0,0,0,0,0
,,,,M,,15,401,1,745156457,,ee608e5d-fe0f-4641-8d1b-53a2cec52cb0,N,0,0,0,0,1,2,AOTH,0,0,,,Y,Y,9,7,1,1,1,,1,,,,1,1,1,1,1,,,,4,5,4,4,5,8,9,4,5,1,6,5,5,51,2,3,0,-1,0,12,-1,16,0,11,7,3,0,5,5,0,,,5,0,0,0,0,0,0,0
,,,,M,,15,401,0,815213450,,541cded8-2547-4998-873d-f3a748eafa24,N,0,0,0,0,1,4,APKN,0,0,Y,Y,Y,Y,11,9,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,4,5,2,2,,17,14,10,7,6,8,7,7,82,3,3,,,,27,,24,,23,3,7,7,4,,,4,0,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,740708125,,4f8e24bd-be28-4f73-8451-4be4a276fda2,K,0,0,0,0,1,3,WBRI,0,0,Y,Y,Y,Y,8,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,4,5,5,5,5,8,17,6,8,7,9,7,7,75,2,3,-1,-3,0,20,0,24,0,26,0,7,8,6,7,0,7,1,6,1,0,0,0,0,0,0
,,,,M,,15,401,1,744586694,,e6d82003-2444-49a5-81d2-270092a5aeeb,N,0,0,0,0,1,1,WBRI,0,0,Y,Y,Y,,8,8,1,1,1,,1,1,1,,1,,1,,1,,,,,3,4,4,4,14,11,5,3,2,5,3,3,47,2,2,0,1,0,11,0,13,0,10,4,4,2,5,3,1,,,4,1,0,0,0,0,0,0
,,,,F,,15,401,1,806913492,,1997289e-008c-49ed-8997-229b61cf9321,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,,Y,10,11,1,1,1,,1,1,1,1,1,,,,1,,,,4,,4,4,5,14,16,7,6,5,6,6,5,65,3,3,1,1,1,20,1,17,0,18,2,6,2,7,4,0,,,4,0,0,0,0,0,0,0
,,,,M,,15,401,1,496171759,,e2552b66-7002-48cc-88f4-6e8f2c7b22fc,K,0,0,0,1,1,2,APKN,0,0,,,Y,Y,5,8,1,1,,,1,1,1,1,,,,,,,,,1,W,2,3,3,9,16,3,3,4,1,1,3,32,2,2,0,1,1,9,0,4,-1,1,5,5,2,4,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,817058991,,506d35ed-fe35-4ac2-ad65-4ec3878dda7b,N,1,0,0,1,1,2,APKN,0,0,,,Y,,11,10,1,1,1,1,,,1,,,,,,,,,,4,4,4,3,4,17,6,2,2,0,6,6,4,51,2,3,0,2,0,8,-1,16,0,16,4,0,3,0,3,0,3,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,811631848,,1b0289be-40e3-435e-83eb-1d855dbad2df,N,0,0,0,0,1,3,AIND,0,0,,,Y,,9,8,1,1,1,1,1,,1,,1,1,1,,1,,,,4,5,3,4,4,6,9,6,4,3,6,7,5,53,3,3,0,-2,1,18,0,19,0,19,5,2,1,3,3,0,4,-1,4,0,0,0,0,0,0,0
,,,,M,,15,401,1,709330354,,ed4a1f6c-d908-47ea-bfe5-9866a1d27587,N,0,0,0,0,2,1,BCRB,0,0,,,Y,,9,13,1,1,1,1,,,1,1,1,,,1,,,,,4,3,5,4,3,9,7,4,2,2,3,3,2,30,3,3,0,1,0,11,0,8,-1,18,0,2,5,0,3,0,3,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,742538775,,b702adb0-4991-4d39-8526-81060e65ddb4,N,0,0,0,0,1,3,WBRI,0,0,,,,,9,8,1,1,1,1,,,,,1,,,,,,,,5,4,4,4,5,15,6,3,3,3,5,4,3,43,3,3,-1,-2,-1,8,-2,13,-1,4,12,4,3,0,4,0,4,-3,,,0,0,0,0,0,0
,,,,M,,15,401,1,618852086,,a7b11159-b958-44ef-be7f-07712656edf1,N,0,0,0,0,2,2,WBRI,0,0,,,Y,,7,8,1,1,1,1,,,,,1,,,,,,,,4,4,4,4,3,10,7,3,2,1,4,4,5,35,2,3,0,0,1,4,0,12,1,9,2,1,4,1,2,0,4,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,657772049,,518fb924-ed8f-4ee2-8ce0-3bc60fbda58d,N,0,0,0,0,1,2,APKN,0,0,,,Y,Y,9,9,1,1,1,,,1,1,1,,1,,,,,,,3,6,1,2,2,14,9,6,4,2,3,4,3,39,2,2,1,1,1,18,1,11,0,8,3,1,4,2,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,630249766,,808db3c8-fe0c-47d2-8373-a41937fecb1e,K,0,0,0,0,1,2,WBRI,0,0,,,,Y,7,7,,1,,,,,,,,,,,,1,,,5,4,5,5,5,2,1,3,2,0,3,2,4,17,2,2,-2,-3,-3,5,-3,8,-2,7,1,0,3,1,6,-3,6,-1,,,0,0,0,0,0,0
,,,,M,,15,401,1,671010874,,a4993dc7-8842-4759-b103-9f661f516b86,N,0,0,0,0,1,1,APKN,0,0,,,,,6,6,,1,,,,,,,,,,,,1,,,1,,4,4,4,4,6,1,1,0,2,0,0,10,2,2,-1,-2,0,2,-1,4,-1,3,2,2,1,0,4,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,765405192,,cbac8c56-c41f-4f43-8bc5-946eedf67667,N,0,0,0,0,1,2,APKN,0,0,,,Y,Y,8,10,1,1,1,,1,,1,,1,1,1,1,,,,,2,2,4,3,5,13,12,7,6,6,4,5,6,63,3,3,0,2,0,20,1,14,0,19,0,7,4,4,5,0,,,6,-1,0,0,0,0,0,0
,,,,M,,15,401,1,650595436,,ebc60f6e-2688-4073-9217-d12d43528c38,N,0,0,0,0,1,3,WBRI,0,0,,,,Y,9,8,1,1,1,,,,1,1,1,1,1,,,,,,5,4,2,2,4,11,11,6,5,4,8,6,3,67,3,3,0,0,0,17,0,19,1,14,3,7,1,0,4,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,515558805,,d4298d91-be9f-4dfd-9c16-8acf4a85e881,K,1,0,0,1,2,2,APKN,0,0,Y,,,,5,6,1,1,,,,,,,,,,,,,,,2,2,2,2,4,4,2,1,1,1,0,0,0,6,2,1,-2,-2,-2,1,-1,1,-2,0,5,1,0,3,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,693512278,,4647db1a-eab3-4984-9b36-f0161c3c763e,K,0,0,0,0,1,1,APKN,0,0,,Y,,,9,10,1,1,1,1,,1,1,1,,,,1,,,,,4,6,5,5,5,16,9,5,5,4,4,3,4,44,2,2,0,1,0,17,1,11,0,8,3,3,7,2,5,0,5,0,5,1,0,0,0,0,0,0
,,,,M,,15,401,1,698144466,,44e8658b-12e2-4f76-9d6a-826c310c52cf,N,0,0,0,0,1,4,WBRI,0,0,Y,,Y,Y,8,8,1,1,1,,,,1,1,1,1,1,1,,1,,,4,5,4,4,5,13,6,3,2,1,7,6,5,54,2,3,0,1,0,8,0,19,1,13,4,3,0,2,5,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,786491848,,4354cc56-a7d4-40c1-be61-db4fecde08d7,N,0,0,0,0,2,2,APKN,0,0,Y,Y,Y,Y,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,4,4,2,1,4,13,15,9,7,7,8,7,6,72,3,3,2,2,2,25,4,21,2,15,3,7,6,9,4,2,,,4,3,0,0,0,0,0,0
,,,,M,,15,401,0,803725221,,f0fee8f1-e10b-45c1-aff7-8aab32508e6a,N,0,0,0,0,2,4,WBRI,0,0,,,Y,Y,9,10,1,1,1,1,1,,,1,1,1,1,1,1,,,,4,5,0,0,,7,17,10,6,6,7,6,3,69,3,3,,,,26,,20,,22,2,6,4,5,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,485427636,,2e212cff-dd28-494e-a447-a4eeec038517,K,0,0,0,0,2,3,WBRI,0,0,Y,,Y,Y,10,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5,2,2,3,8,10,4,2,4,4,4,3,43,2,3,1,0,2,9,1,13,0,20,0,5,3,5,3,1,4,0,4,2,0,0,0,0,0,0
,,,,F,,15,401,1,642916517,,7b19f5b0-fa47-4d1f-9b1c-4d6fc1e4a027,K,0,0,0,0,2,2,APKN,0,0,Y,Y,Y,Y,9,8,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,5,5,5,5,5,12,14,8,6,7,7,5,4,72,3,3,1,0,2,24,3,20,0,17,2,6,7,9,6,1,6,2,5,1,0,0,0,0,0,0
,,,,F,,15,401,1,820759050,,42c7f716-1838-4697-9a54-8b3cab55263f,N,1,0,0,1,1,2,APKN,0,0,,,Y,,11,10,1,1,1,,,,1,1,,,,,,1,,,5,4,5,5,5,13,9,7,2,0,7,7,5,60,2,3,0,1,-1,15,-1,20,0,19,2,1,0,0,4,-1,,,,,0,0,0,0,0,0
,,,,M,,15,401,0,694666562,,0bb45e37-5db4-4416-95ac-60d7170cb649,N,0,0,0,0,1,4,WBRI,0,0,Y,Y,Y,Y,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,4,2,2,2,,12,11,5,4,7,6,4,6,54,3,2,,,,17,,17,,9,3,5,7,7,,,,,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,696568930,,375c0886-9968-41de-a8a5-742fd5b1bf78,N,0,0,0,0,1,4,APKN,0,0,,Y,Y,,7,9,1,1,1,,,,1,1,1,1,1,,,,,,5,5,4,4,4,2,9,3,5,5,4,3,2,44,3,2,0,-2,0,11,0,13,-1,14,0,3,1,1,3,1,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,640737530,,35aa5dcc-7b39-4a2b-9a56-538b919d1cf3,K,1,0,0,1,1,2,WBRI,0,0,Y,,Y,Y,9,9,1,1,1,1,,1,1,1,1,1,1,1,,,,,5,,4,4,4,15,12,4,2,2,6,5,5,50,3,3,1,4,1,9,0,18,1,12,6,3,3,2,3,0,3,2,,,0,0,0,0,0,0
,,,,M,,15,401,1,756790234,,a4fcf435-720f-4e01-a3e4-a06cd3ae2aba,N,0,0,0,0,1,3,APKN,0,0,Y,Y,Y,Y,11,11,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,4,5,3,4,5,8,16,6,4,6,6,6,6,61,3,3,-1,-2,0,18,-1,18,-1,18,1,5,6,7,,,6,0,6,-3,0,0,0,0,0,0
,,,,M,,15,401,1,659600126,,046165f8-e3bf-43ca-8034-e014c8d652f3,N,0,0,0,0,2,3,MWBA,0,0,,,,,8,8,1,1,1,1,1,1,,,1,,1,1,,,,,5,4,4,4,4,7,6,4,3,3,5,3,2,33,3,2,-1,-2,0,12,-1,11,-1,2,8,2,6,4,4,-1,4,-1,5,-2,0,0,0,0,0,0
,,,,F,,15,401,1,720644600,,8f0fd244-1b83-496f-ae43-76ffab1e02b6,K,1,0,0,1,1,2,WBRI,0,0,Y,,,,7,7,1,1,1,1,1,1,,1,,,1,1,1,1,,,5,,5,5,4,7,13,4,4,4,5,3,3,51,3,2,0,0,0,14,0,13,0,15,1,4,6,4,4,1,3,1,4,-1,0,0,0,0,0,0
,,,,F,,15,401,1,740920421,,e642b3f9-d0ec-485a-a5c3-cdce02658605,K,0,0,0,0,1,2,WBRI,0,0,,,Y,Y,9,10,1,1,1,1,1,,1,1,1,1,,,1,1,,,,5,2,3,4,5,1,2,1,1,6,4,2,31,2,2,-1,-1,-1,5,-2,15,0,15,3,2,1,3,3,-2,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,823643751,,8eae0b3f-0b6b-4b70-af61-c2f4f64a30af,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,Y,Y,13,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,5,5,5,5,10,16,8,7,7,7,7,6,71,3,3,0,-1,0,24,1,22,0,22,2,8,7,9,7,0,6,0,6,0,0,0,0,0,0,0
,,,,F,,15,401,1,750206151,,5a3560d5-2310-4ead-89a5-55033a81dd3c,K,0,0,0,1,1,1,APKN,0,0,,,,,7,7,1,1,1,,1,,,,,,,,,1,,,6,6,4,5,3,5,3,0,2,1,3,3,1,19,1,2,0,-1,0,2,0,8,0,3,4,2,0,3,3,1,,,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,753487338,,ef2880b3-7bbe-4636-a965-4bf948467049,K,1,0,0,1,1,1,WBRI,0,0,,,Y,,6,4,1,1,1,,,,1,1,1,,,,,,,,5,4,5,5,4,13,8,3,1,1,5,3,2,43,2,2,0,2,1,7,0,10,0,7,5,1,0,0,4,0,,,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,799838408,,dae3b6c0-a230-4956-bfcc-94647e26fc2f,N,1,0,0,1,1,2,WBRI,0,0,,,Y,,9,8,1,1,,1,1,1,1,1,1,,,,,,,,5,,4,2,4,8,11,4,3,2,6,4,4,48,2,3,0,0,0,9,0,16,-1,17,2,0,3,4,,,2,0,4,1,0,0,0,0,0,0
,,,,F,,15,401,1,821002434,,4ece5b92-dec3-4c5b-8730-f707d5f6034e,N,0,0,0,0,1,2,WBRI,0,0,Y,,,Y,11,9,1,1,1,1,,,1,1,1,,1,1,,,,,5,4,5,5,5,3,10,4,2,2,6,6,2,48,3,3,0,-1,0,15,-1,17,0,10,9,2,7,0,4,-1,4,1,,,0,0,0,0,0,0
,,,,M,,15,401,1,584497036,,b2a6b302-54bc-4c39-8e00-50e1fa6107f0,N,1,0,0,1,1,3,WOTH,0,0,,,Y,,6,8,,1,,,,,1,,,,,,,,1,,6,4,3,3,4,1,3,1,0,0,1,0,0,5,1,1,-1,-1,0,1,-1,2,-2,2,1,0,0,1,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,761552883,,d666096e-60f3-40ce-9b5b-566e4bd8edaa,N,0,0,0,0,1,3,APKN,0,0,,,,Y,9,10,1,1,1,1,1,,,1,1,1,,1,,,,,4,4,5,5,5,5,16,6,2,1,4,5,3,45,2,3,-1,-2,0,12,-1,13,-1,13,0,2,4,3,5,0,5,0,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,807977635,,afdf6520-aafb-4fb7-9ee6-5f0a299a449d,N,1,0,0,1,1,3,WOTH,0,0,Y,,Y,,12,9,1,1,1,1,1,1,1,,1,,1,1,,1,,,5,5,4,4,5,11,16,9,8,6,9,8,7,80,3,3,0,-1,0,26,0,25,0,25,3,8,7,4,5,0,6,0,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,693280275,,6b73977e-a372-484b-8d25-2d0559a44386,N,1,0,0,1,1,4,APKN,0,0,Y,,Y,,8,9,1,1,1,,1,1,1,1,1,1,1,,1,1,,,5,5,3,3,4,12,13,7,6,5,7,8,5,69,3,3,1,1,0,20,1,20,2,14,3,6,3,6,3,1,,,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,769500109,,d63ee7ea-f909-4aeb-aaf0-152b32c2f7cf,N,1,0,0,0,1,3,WBRI,0,0,,,Y,,8,8,1,1,1,1,,,1,,1,1,1,1,,1,,,5,5,4,4,5,4,14,4,4,4,6,5,4,51,3,3,-2,-4,0,13,-1,16,-2,11,5,3,2,1,6,-1,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,654417426,,82ef7431-40fa-42ef-bca8-abd272c80e2a,N,0,0,0,0,2,3,APKN,0,0,,,,,8,9,1,1,1,1,,,,,1,,1,1,,,1,,5,5,4,4,4,6,14,6,7,3,5,5,1,45,2,2,0,-1,0,17,0,13,0,14,3,4,6,3,5,1,5,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,790898290,,63fb10b4-6752-42ac-a575-1776b43a74a0,N,0,0,0,0,2,2,MWAS,0,0,Y,Y,Y,,7,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,5,5,5,5,12,16,4,6,6,7,6,6,54,3,3,1,0,1,11,1,20,1,23,3,7,5,7,5,1,4,0,4,2,0,0,0,0,0,0
,,,,F,,15,401,1,623418041,,65f1dff9-c8d5-4742-a605-c0c53aa6e0d1,K,1,0,0,1,1,1,WBRI,0,0,Y,Y,Y,Y,6,7,1,1,,,,,1,1,,,,1,,,,,3,1,5,4,4,14,4,2,3,2,5,3,3,33,1,2,1,3,0,4,1,12,2,5,7,1,6,2,,,5,2,5,1,0,0,0,0,0,0
,,,,F,,15,401,1,499932124,,081f824e-98d0-4914-9dc2-24381b37635c,N,1,0,0,1,1,2,WBRI,0,0,Y,Y,Y,Y,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,5,5,5,5,17,17,9,7,7,9,8,6,84,3,3,1,1,1,25,1,26,1,23,1,6,8,2,7,1,6,2,6,-1,0,0,0,0,0,0
,,,,M,,15,401,1,769748432,,00dc6fc2-7155-4bc4-9d4b-e15ec0b5b319,N,1,0,0,1,1,3,WBRI,0,0,Y,Y,,Y,11,10,1,1,1,,1,1,1,,1,1,1,1,1,,,,5,5,3,4,5,12,16,9,8,7,8,8,7,79,3,3,0,-1,0,27,1,26,0,25,2,8,4,7,5,0,,,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,716514083,,60abf198-5016-4fcf-98fd-f9dafd2a03ad,K,0,0,0,0,1,2,WBRI,0,0,Y,,Y,Y,8,9,1,1,1,,,1,1,,1,1,1,,1,,1,,6,3,3,3,4,17,11,6,5,2,6,4,3,59,2,2,0,2,0,15,1,14,0,17,0,5,2,2,4,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,0,606647445,,2adaf404-bfc1-4152-9545-cc465bb58c08,K,1,0,0,1,1,3,WBRI,0,0,,,Y,,6,9,1,1,1,1,1,,1,,,,1,,,,1,,6,6,1,0,,15,11,5,4,5,5,3,5,53,2,2,,,,15,,12,,16,0,2,4,4,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,756177705,,d0c57ea1-9fd1-4c7c-ad75-5a5892000088,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,Y,Y,9,10,1,1,1,1,1,1,1,1,1,1,1,1,,,,,4,5,5,4,5,7,13,3,6,7,3,6,7,47,3,3,0,-1,0,11,1,13,0,11,3,7,7,4,5,2,5,0,5,0,0,0,0,0,0,0
,,,,F,,15,401,0,803107234,,eb55f98a-804b-41c6-8240-a88aef465d0e,N,0,0,0,0,1,4,WBRI,0,0,,,Y,Y,8,6,1,1,1,1,,,1,1,1,1,,1,,,,,,,2,1,,9,4,4,3,4,6,5,4,45,3,3,,,,10,,15,,12,5,5,4,1,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,602457874,,4828b629-8caf-4d74-91ba-eb96abc69567,N,0,0,0,0,2,2,APKN,0,0,Y,,,,8,9,1,1,1,,1,1,1,1,,,,,1,,,,5,,5,4,5,12,7,3,4,3,2,2,2,34,2,2,0,1,-1,9,0,6,0,5,3,3,4,5,5,-1,,,5,0,0,0,0,0,0,0
