candidate_number,forvus_index_number,surname,forename,gender,date_of_birth,age,pupil_inclusion_status_flag,pupil_included_in_progress_8_calculations,la_establishment_number,school_urn,upn,sen,has_the_pupil_been_eligible_for_fsm_in_the_last_6_years,is_the_pupil_looked_after,is_the_pupil_disadvantaged,eal_group,ks2_prior_band,students_ethnicity,did_the_pupil_join_within_the_last_2_yrs,took_english_bacc_9_4,took_english_bacc_9_5,took_english_and_maths_gcses_9_4,took_english_and_maths_gcses_9_5,entries,gcse_entries,entry_english_ebacc,entry_maths_ebacc,entry_science_ebacc,entry_humanities_ebacc,entry_language_ebacc,entry_all_ebacc,achieved_english_ebacc_9_4,achieved_english_ebacc_9_5,achieved_maths_ebacc_9_4,achieved_maths_ebacc_9_5,achieved_science_ebacc_at_grade_9_4,achieved_science_ebacc_at_grade_9_5,achieved_humanities_ebacc_at_grade_9_4,achieved_humanities_ebacc_at_grade_9_5,achieved_language_ebacc_at_grade_9_4,achieved_language_ebacc_at_grade_9_5,entry_triple_science,entry_multiple_languages,ks2_reading_level_finely_graded,ks2_mathematics_finely_graded,ks2_reading_ta_level,ks2_mathematics_ta_level,ks2_reading_ps,ks2_maths_ps,pupil_level_ebacc_average_point_score,point_score_in_english_ebacc_subject_area,point_score_in_maths_ebacc_subject_area,point_score_in_science_ebacc_subject_area,highest_point_score_achieved_in_humanities_ebacc_subject_area,highest_point_score_achieved_in_language_ebacc_subject_area,prior_attainment_score_in_english_and_mathematics,score_achieved_in_english,score_achieved_in_mathematics,score_achieved_in_1st_ebacc_slot,score_achieved_in_2nd_ebacc_slot,score_achieved_in_3rd_ebacc_slot,score_achieved_in_1st_open_slot,score_achieved_in_2nd_open_slot,score_achieved_in_3rd_open_slot,attainment_8_score,ebacc_slots_filled,open_slots_filled,pupils_adjusted_progress_8_score,pupils_unadjusted_progress_8_score,pupils_progress_8_score_has_been_adjusted_due_to_extreme_negative_score,progress_8_score_for_english,progress_8_score_for_mathematics,score_achieved_in_ebacc_slots,progress_8_score_for_ebacc_slots,score_achieved_in_open_slots,progress_8_score_for_open_slots,total_score_achieved_in_open_slots_gcses_only,total_score_achieved_in_open_slots_non_gcses_only,ks2_4_predicted_ps_for_ebacc_science_va,ebacc_science_va_score,ks2_4_predicted_ps_for_ebacc_humanities_va,ebacc_humanities_va_score,ks2_4_predicted_ps_for_ebacc_language_va,ebacc_language_va_score,pupil_level_science_pathway_flag
,,,,M,,15,401,1,778168451,,332417d5-d201-444e-bdae-d9e43e7faf96,N,1,0,0,1,2,APKN,0,,,Y,,7,6,1,1,1,,,,1,,,,,,,,,,,,5.631578947,4.272727273,5,5,5,5,2,7,4,1,1,1,5,14,8,4,1,1,3,3,3,43,3,3,0,0,,0,0,11,0,11,0,6,4,4,-1,4,0,,,0
,,,,F,,15,401,1,815399134,,f4c8089f-cbea-41d8-81b2-66d27fd5d6fa,N,0,0,0,1,3,WBRI,0,,Y,,Y,8,9,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,5.368421053,5.454545455,5,4,5,5,6,6,6,6,6,4,5,11,13,8,6,6,6,6,4,65,3,3,0,0,,0,0,23,0,15,0,17,3,6,-1,5,0,6,0,0
,,,,M,,15,401,1,799835083,,cddaf8ca-0a86-4c1e-b52f-30149cd59bec,N,0,0,0,1,2,AIND,0,Y,Y,Y,,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,4.923076923,5.909090909,,6,4,4,7,7,7,8,7,4,5,13,16,7,8,8,8,8,8,79,3,3,2,2,,2,3,23,2,24,3,22,7,5,1,5,0,5,0,0
,,,,F,,15,401,1,735920836,,260b8b18-e5c2-46a0-bb7c-7ef650e4ee34,N,0,0,0,1,2,WBRI,0,Y,Y,Y,,7,7,1,1,1,,1,,,1,,,,,,,1,,,,5,4.424242424,4,6,3,2,3,4,1,3,2,5,3,9,4,2,3,1,3,3,1,32,2,2,-1,0,,0,-1,7,0,10,0,6,4,2,-1,,,4,1,0
,,,,M,,15,401,1,676580676,,8bfe9a79-aaaa-462c-b77b-cab9f113c088,N,0,0,0,1,2,WBRI,0,,,Y,Y,10,9,1,1,1,1,,,1,,1,1,,1,1,1,,,1,,4.230769231,4.696969697,5,5,5,5,5,7,6,4,5,2,5,14,12,7,6,5,7,5,3,68,3,3,1,1,,0,1,21,1,13,1,4,3,7,0,6,1,,,0
,,,,F,,15,401,1,745623985,,df0d815f-e098-4557-853e-a0eb342f12cf,N,0,0,0,1,3,WBRI,0,,,Y,Y,10,9,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,5.263157895,5.227272727,5,4,5,5,5,7,4,6,7,1,5,17,12,8,6,5,4,5,5,68,3,3,0,0,,0,0,21,0,17,0,14,2,6,-1,6,0,,,0
,,,,F,,15,401,1,767664203,,256fd6f9-46ca-46c1-bb5c-56f26f5c86e5,N,0,0,0,2,3,WBRI,0,Y,,Y,Y,12,10,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,4.923076923,5.727272727,5,5,5,5,8,9,8,7,4,5,5,18,18,9,7,6,8,8,8,88,3,3,1,1,,1,1,25,1,26,2,25,4,7,0,7,2,5,1,0
,,,,M,,15,401,1,553991361,,e8035ea1-02bb-4466-a137-6145938e655b,K,1,0,1,2,2,APKN,0,Y,Y,,Y,5,7,1,1,1,,1,,,,,1,1,1,,,1,1,,,4.615384615,5,6,6,4,5,2,7,6,7,2,7,5,10,7,3,7,5,2,2,3,31,2,2,-1,-1,,-1,-1,8,0,9,-2,6,2,7,0,,,5,1,0
,,,,F,,15,401,1,801945052,,47d8201e-90a3-4022-99b7-94a99dbb948b,N,0,0,0,1,2,WBRI,0,,Y,,,9,9,1,1,1,,1,1,1,1,,,,,,,,,1,,4,4.303030303,5,4,5,5,4,7,3,8,1,5,5,16,9,6,6,6,7,7,5,63,3,3,0,0,,0,0,18,0,19,0,21,0,5,0,,,4,0,0
,,,,M,,15,401,0,811850292,,a4e30857-9564-4f09-8888-a2a556b99f87,N,1,0,0,2,3,APKN,0,Y,Y,,,9,6,1,1,1,1,,,,1,,,,1,,,,1,1,,5.368421053,5.727272727,2,3,1,1,8,8,4,8,6,0,,18,14,9,8,6,8,7,4,84,3,3,,,,1,0,26,0,24,,23,4,,,,,,,0
,,,,F,,15,401,1,743198115,,c4a00162-5ad1-4d3d-bac4-cfaa28a81cbf,N,0,0,0,1,2,AIND,0,,,Y,Y,8,9,1,1,1,1,1,1,1,1,1,1,1,,,1,,,1,,4.615384615,4.909090909,5,5,5,5,4,8,6,8,8,6,5,13,7,6,8,7,8,5,4,49,3,2,0,0,,0,0,19,0,17,0,13,2,6,1,6,0,5,0,0
,,,,M,,15,401,1,722654675,,656ea308-a6bd-4da3-b230-a09ac25094c7,K,0,0,0,1,3,WBRI,0,,,Y,Y,10,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,5.157894737,5.727272727,4,6,3,3,5,8,5,6,6,6,4,14,10,7,6,4,6,5,6,57,3,3,0,0,,0,0,21,1,17,0,17,0,4,0,,,4,0,0
,,,,M,,15,401,1,702355139,,265921ee-ee0b-42f2-8d3f-49fb1ab0880c,N,1,0,1,1,2,WBRI,0,,,,,6,6,1,1,1,1,1,1,,,,,,,,,,,,,4.461538462,5.090909091,5,4,4,4,1,3,3,3,5,4,3,3,4,2,3,3,2,1,3,20,2,2,0,-1,,0,-1,4,-1,8,-1,5,1,3,-1,2,0,,,0
,,,,M,,15,401,1,797255561,,0ce59c65-2a8d-4c8d-83f7-9e51b0eab109,N,0,0,0,2,4,WBRI,0,Y,,Y,Y,11,12,1,1,1,,1,,1,1,1,1,1,1,,,1,1,1,,5.421052632,5.636363636,5,5,4,5,6,7,6,5,1,5,5,14,13,8,6,6,7,6,6,66,3,3,0,0,,0,0,22,0,18,-1,19,0,5,0,4,-1,5,0,0
,,,,F,,15,401,0,731508278,,45754076-8a79-47e1-8d42-d5d2a6ea0275,N,1,0,1,1,4,WBRI,0,,Y,Y,Y,7,9,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,,4,4,3,3,5,8,7,5,7,3,,16,13,7,6,4,7,7,4,71,2,2,,,,0,0,19,0,20,,19,0,,,,,,,0
,,,,F,,15,401,1,790592716,,8afc40b8-2deb-4489-8e1c-f63e78bc7085,N,1,0,1,2,2,AIND,0,,,Y,,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,4.461538462,4.454545455,4,4,5,5,6,5,4,3,6,8,5,11,10,7,6,6,7,7,8,65,3,3,0,0,,0,-1,21,0,23,0,25,0,6,0,6,-1,5,0,0
,,,,M,,15,401,1,696933324,,ec9273cf-e83a-4230-aa8e-bdc1be98b00d,N,0,0,0,1,1,MOTH,0,,,Y,,9,9,1,1,1,1,,,1,,,,,,,,,,1,,5.105263158,4.484848485,,4,5,5,3,5,4,5,5,1,4,7,8,5,5,2,5,1,4,31,3,3,-1,-1,,-1,-1,13,-2,6,-1,1,5,3,-2,4,-2,,,0
,,,,F,,15,401,1,758924750,,1fe714a0-045f-4552-aeaf-4f707dd5da38,N,0,0,0,1,2,WBRI,0,Y,Y,Y,Y,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,4.153846154,5,4,4,5,5,8,9,7,8,9,8,5,18,14,9,8,6,8,8,8,84,2,3,1,1,,2,0,26,1,26,2,26,0,6,0,7,2,5,2,0
,,,,F,,15,401,1,782731889,,5cd26b34-8f0b-45fe-9720-7021b40db8bc,N,0,0,0,2,3,WBRI,0,,,Y,,7,6,1,1,1,1,,,1,,1,,,,1,,,,,,4.461538462,5.181818182,4,,4,5,4,9,4,1,7,0,5,17,11,4,4,5,8,8,5,62,3,3,0,0,,0,0,15,-1,19,0,18,5,5,-1,5,0,,,0
,,,,M,,15,401,0,810996507,,6fce4c61-7053-4c29-9535-96a3078c8e1f,N,0,0,0,2,3,APKN,0,,Y,,Y,9,7,1,1,1,,,,1,1,,1,,1,,,,1,1,,,5.772727273,5,,2,2,5,6,5,7,1,1,,15,11,6,7,6,8,6,4,73,2,2,,,,1,1,15,1,24,,22,4,4,0,,,,,0
,,,,F,,15,401,0,713994503,,f0a87fa2-0b43-4bd9-942c-380737313ed9,N,0,0,1,1,4,MWBC,0,,,Y,Y,7,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5.631578947,5.681818182,5,6,2,2,4,6,6,5,7,7,,10,9,4,4,5,4,3,1,46,3,2,,,,1,1,12,0,12,,8,0,,,4,1,5,-1,0
,,,,M,,15,401,1,697827869,,b99b7a9e-8451-4597-85ea-72a520779d95,K,0,0,0,1,1,WBRI,0,,,Y,,5,6,1,1,1,,,,1,1,1,,,,,,,,,,3.428571429,4.060606061,,4,5,5,1,5,2,0,4,0,5,9,2,1,0,1,1,2,2,14,2,2,-1,-1,,0,-1,3,-2,8,-2,3,4,5,-2,6,0,,,0
,,,,F,,15,401,1,716445576,,68bcabeb-31b7-448b-b241-4bea95d636c7,K,0,0,0,1,2,AOTH,0,,,Y,,5,8,1,1,1,,1,1,1,,1,,1,,,,,,1,,5.157894737,4.666666667,4,6,4,3,4,7,5,7,4,3,4,11,8,3,4,3,5,5,3,35,2,2,0,0,,0,1,9,0,14,0,13,1,5,0,,,,,0
,,,,M,,15,401,1,552159144,,051dc3f5-9de3-4095-a7ae-3520ab1da8bd,K,0,0,0,1,2,WBRI,0,,,,,5,7,,1,,,,,1,1,,,,,1,1,,1,1,,5.157894737,4.090909091,4,,3,4,1,2,4,3,1,2,4,3,4,1,2,2,3,4,1,27,1,2,0,0,,0,0,2,0,9,0,4,3,,,,,,,0
,,,,M,,15,401,1,818714694,,0ccbee9f-ae1d-4772-90ba-a47a7d20065e,N,0,0,0,1,4,APKN,0,,,Y,Y,12,9,1,1,1,1,,,1,1,1,1,1,,1,,,,1,,5.105263158,5.681818182,3,5,5,5,7,6,7,4,4,1,5,15,19,8,6,7,7,6,3,78,3,3,0,0,,1,1,24,0,17,0,17,3,5,-1,5,-1,,,0
,,,,M,,15,401,1,586537881,,139c137e-8f4b-4e6f-bc4d-816d604eb2ef,E,1,0,1,2,2,WBRI,0,,Y,,,5,9,,1,1,,,1,,,1,,1,1,,1,,1,,,5.684210526,5.318181818,,4,3,3,0,2,3,2,1,5,4,2,2,1,1,0,4,1,1,10,2,2,0,-1,,-2,0,3,0,5,-1,3,1,,,,,,,0
,,,,M,,15,401,1,708517670,,b084e71b-e5e5-43ad-b86d-2b26424804ae,N,0,0,0,2,3,WBRI,0,,,,Y,7,7,1,1,1,1,,,1,,,,,,,,,1,,,5.052631579,5.181818182,4,4,3,3,2,5,2,1,3,2,4,12,6,5,2,1,3,1,2,43,3,2,0,0,,0,-1,10,0,8,0,10,0,4,0,4,0,,,0
,,,,F,,15,401,1,780533697,,9c8a5eb5-e9c7-4879-972a-b7d52c70fbb9,N,0,0,0,1,3,APKN,0,Y,Y,Y,Y,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,5.368421053,5.818181818,5,4,3,3,7,7,5,7,6,8,5,15,14,8,7,8,8,8,8,80,3,3,1,1,,1,0,26,1,25,1,26,2,4,0,5,0,5,0,0
,,,,F,,15,401,1,793412055,,ab3c9db3-8afa-48ca-a159-b3ca62c556a2,K,0,0,0,1,2,WBRI,0,,,Y,Y,10,9,1,1,1,1,1,1,1,,1,1,1,1,,1,1,,1,,5.263157895,5.863636364,5,4,5,5,5,6,7,3,2,5,5,13,16,6,5,5,7,6,5,66,3,3,0,0,,0,0,18,0,21,0,14,6,7,0,7,-1,6,0,0
,,,,M,,15,401,1,767384722,,db96e584-d369-4439-9076-8f9dd41eba1b,N,0,0,0,2,2,APKN,0,,,Y,,5,6,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,4.692307692,4.787878788,5,5,5,5,2,3,6,2,5,0,4,5,10,5,2,3,5,1,0,41,2,2,0,0,,0,1,11,0,5,0,2,5,4,0,5,1,,,0
,,,,F,,15,401,1,582310215,,1921aca2-4320-4f13-b33f-30efa0ff74b4,N,0,0,0,1,1,MWAS,0,,Y,,Y,4,6,1,1,1,1,,,,,,,,,,,,,,,4.769230769,0.5,,6,4,3,0,2,1,0,1,0,2,1,1,0,0,0,0,1,1,1,2,3,-2,-2,,-1,-1,0,-3,2,-1,1,5,1,-2,1,-3,,,0
,,,,F,,15,401,1,788253592,,dc28c44d-5cc0-4161-bce2-3196d3529dfa,N,0,0,0,2,2,APKN,0,,,Y,,7,4,1,1,1,1,,,,,,,,,1,,,,,,5.789473684,3.464285714,6,3,2,2,3,4,0,4,8,0,4,11,2,1,5,4,7,6,5,47,2,2,0,0,,1,-2,5,0,21,1,13,8,3,0,3,1,,,0
,,,,M,,15,401,1,721271337,,c673d026-69f9-4387-82bd-fe7e6974fef8,N,0,0,0,1,2,WBRI,0,,,Y,,6,7,1,1,1,,,,,,1,,,,,,,,,,5.210526316,5.227272727,,3,2,2,0,6,3,3,1,1,4,7,2,1,3,2,2,1,3,16,2,2,-1,-1,,-2,-1,5,-2,12,-1,8,7,,,,,,,0
,,,,M,,15,401,0,647078832,,c6aaad21-f799-4841-a326-08bbc1743411,N,0,0,0,1,4,APKN,0,Y,Y,Y,,4,6,,1,,1,1,1,,,1,1,1,1,1,1,1,1,,,,,5,4,0,0,3,5,5,2,6,4,,10,7,4,5,3,1,0,1,36,2,2,,,,-1,0,12,1,4,,6,0,,,,,,,0
,,,,F,,15,401,1,731974999,,f53010f6-182b-4b47-a49f-3e3583c42764,N,0,0,0,2,2,AOTH,0,,,,,7,8,1,1,1,,1,,1,,1,,,,1,1,,1,,,5.789473684,4.666666667,4,4,4,4,3,6,3,3,3,2,4,12,7,4,3,3,5,4,3,39,2,3,0,0,,0,0,11,0,16,0,14,2,3,0,,,4,0,0
,,,,M,,15,401,1,795265261,,a0cca5a3-e39f-4f9b-bbc0-d7ed11c5257c,N,0,0,0,1,1,APKN,0,,Y,Y,Y,7,5,1,1,1,,,,,,,1,,1,,,,,,,2.5,0.5,4,4,5,5,4,5,4,6,1,0,3,8,10,5,6,1,7,6,3,51,2,2,0,1,,1,0,16,1,19,1,14,6,2,1,,,,,0
,,,,M,,15,401,1,662181325,,b979ba39-f7eb-4702-b721-82fc006fc8f2,K,0,0,0,1,3,APKN,0,Y,Y,Y,,6,10,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,5.210526316,4.424242424,4,6,4,4,6,8,8,8,7,5,4,13,12,9,8,5,7,7,7,58,3,3,1,1,,0,1,24,3,22,1,24,0,5,3,5,2,,,0
,,,,M,,15,401,1,723137316,,f0660258-9448-4d48-8e88-f1246f2a49fd,N,0,0,0,1,3,WBRI,0,,,Y,Y,9,11,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,5.526315789,5.318181818,,6,4,4,3,7,6,1,5,2,5,12,9,4,2,3,6,5,4,43,2,2,0,0,,-1,0,10,0,14,0,8,1,5,0,5,0,,,0
,,,,M,,15,401,1,809782335,,839623b0-bb1b-491c-b04f-f86123adffb1,N,0,0,0,2,4,WBRI,0,Y,,Y,Y,10,9,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,,5.315789474,5.090909091,4,5,3,2,6,5,5,7,7,1,3,12,11,8,5,6,6,7,6,69,3,3,1,1,,2,0,22,1,22,1,22,0,2,1,2,2,,,0
,,,,M,,15,401,1,645273492,,2479e693-ab61-4084-a44f-a7a567f3c6a6,N,0,0,0,1,2,WBRI,0,,,Y,Y,6,8,1,1,1,1,,,,1,1,1,,,1,1,,,,,4.692307692,5,4,5,4,4,2,3,4,3,5,0,4,4,8,5,4,4,5,1,0,34,3,2,1,1,,0,1,13,2,5,0,4,0,4,1,3,3,,,0
,,,,F,,15,401,1,679779313,,70cad6b0-61ff-4612-8767-9d675698a980,N,0,0,0,2,3,APKN,0,,,Y,Y,6,7,1,1,1,,,,1,1,1,,,1,1,1,,,1,,4.923076923,5.772727273,6,5,5,5,4,9,6,4,5,1,5,17,10,5,5,5,7,5,5,60,2,2,1,0,,2,0,15,0,16,1,10,3,6,0,,,,,0
,,,,M,,15,401,1,698921412,,199eecdf-efc0-409a-857d-36d79d6c9495,N,0,0,0,1,2,APKN,0,,,Y,,7,7,1,1,1,1,,,1,1,1,1,1,1,,,,,,,4.461538462,5.227272727,5,4,5,5,4,5,5,5,0,0,5,8,11,4,3,2,5,3,4,50,3,2,-1,-1,,0,0,13,-2,18,0,19,1,6,-1,5,-3,,,0
,,,,F,,15,401,1,780012509,,554753d5-e3df-4bd3-b5de-fe4edd3520c3,K,0,0,0,1,2,WBRI,0,Y,,,Y,8,7,1,1,1,1,,,1,1,1,1,,1,,,,,1,,0.5,4.272727273,4,5,5,5,4,5,3,3,4,3,4,9,8,6,3,3,6,4,5,46,3,3,0,0,,0,0,17,0,12,0,6,3,4,0,4,1,5,2,0
,,,,F,,15,401,0,639598594,,e1b40838-8097-42bc-9645-6ab92c497905,N,0,0,0,1,4,APKN,0,,,Y,,6,7,1,1,1,,,,1,,1,,,1,,,,1,1,,5.473684211,5.590909091,5,4,2,2,3,8,5,3,4,2,,16,9,5,2,4,7,8,7,59,2,3,,,,1,0,12,1,23,,21,3,,,,,,,0
,,,,M,,15,401,0,796035390,,c9d5eae4-4a7e-4788-96f8-5f80eaa9d54f,N,0,0,0,2,4,AIND,0,Y,,Y,Y,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5.636363636,,6,2,2,8,8,6,8,3,6,,16,15,8,8,8,5,5,7,82,3,3,,,,2,0,24,0,22,,24,0,,,,,5,0,0
,,,,M,,15,401,1,589267174,,cbe9369a-0ff1-4263-8194-080b2d8767c5,K,1,0,1,1,2,APKN,0,,,,,6,7,1,1,1,1,,,1,,1,,,,,,,,,,5.684210526,4.090909091,,5,3,2,0,1,2,0,4,0,2,1,2,2,0,0,3,1,2,10,2,2,-1,-1,,-1,-1,3,-1,7,-1,4,3,,,,,,,0
,,,,M,,15,401,1,583305496,,5a5ddbd5-ba74-4569-9d56-23c4599b921d,K,1,0,1,1,1,APKN,0,,,Y,,5,8,1,1,1,1,,,1,,,,,,1,,,,,,4.5,3.571428571,4,6,5,5,0,6,2,4,5,0,3,9,1,1,3,0,3,3,3,17,2,2,0,0,,0,-1,2,0,11,0,5,6,3,1,3,0,,,0
,,,,M,,15,401,1,810644192,,aff7b536-698b-4488-810b-17595201e642,N,0,0,0,1,3,WBRI,0,Y,Y,Y,Y,10,9,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,5.052631579,5.772727273,5,5,5,5,8,7,8,8,5,3,5,15,18,7,8,8,8,8,6,86,3,3,0,0,,0,1,24,0,23,0,24,0,7,1,7,1,6,1,0
,,,,F,,15,401,1,605781428,,1e36ee4a-e1de-453f-8904-83b87579d678,K,0,0,0,1,2,WBRI,0,,,,,6,7,1,1,1,1,,,,,,,,,,,,,,,4.153846154,4.060606061,4,6,5,4,1,4,1,3,6,0,5,8,3,2,3,4,3,4,2,21,2,3,0,0,,0,0,7,0,11,0,12,2,5,0,6,-1,,,0
,,,,M,,15,401,1,820187862,,ebb1eb52-c2f4-47b9-9656-ab4d9ae25540,N,0,0,0,1,3,WBRI,0,Y,Y,Y,Y,10,8,1,1,1,,1,,1,1,1,1,1,1,,,1,1,1,,5.473684211,5,5,6,4,4,7,7,8,7,2,2,5,16,19,8,8,6,8,8,8,85,3,3,1,1,,1,1,23,0,25,1,24,5,6,0,,,,,0
,,,,F,,15,401,1,780502239,,cd7893d2-30fa-4fee-bc4a-648ee0da57ae,N,0,0,0,1,2,WBRI,0,,,Y,Y,8,8,1,1,1,1,,,,1,1,1,1,1,,1,,1,,,5.368421053,5,5,4,4,4,5,4,7,4,3,1,4,8,15,7,6,3,5,7,6,65,2,3,0,0,,0,1,20,0,20,0,19,1,3,0,,,,,0
,,,,F,,15,401,0,799463549,,af2d664e-fea8-42cb-878b-57182a37bb7f,N,0,0,0,1,4,WOTH,0,Y,Y,Y,Y,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5.421052632,,,4,1,2,7,8,9,8,5,6,,15,19,9,8,7,8,8,7,83,3,3,,,,0,1,26,0,23,,24,1,6,0,,,,,0
,,,,M,,15,401,1,754873680,,eb3711ae-70ad-46d1-8305-38d4d251d0dc,N,0,0,0,1,3,WBRI,0,,,,Y,9,10,1,1,1,1,1,,,,,,,,,1,,,1,,5.578947368,5.5,4,4,4,3,3,4,5,5,3,3,4,8,8,4,5,4,2,4,4,33,3,2,0,0,,0,0,13,0,13,-1,12,1,4,-1,3,0,,,0
,,,,F,,15,401,0,772185727,,bc1372b2-fabc-44d1-843d-012490ccd1f7,N,1,0,1,1,4,AIND,0,,,,,8,8,1,1,1,1,,1,1,,,,,,,,,,,,4.692307692,5.954545455,3,6,0,0,4,5,2,3,6,2,,11,6,4,3,2,6,3,3,41,3,3,,,,0,-1,10,-1,15,,11,2,,,,,,,0
,,,,F,,15,401,1,809525826,,c2076ff3-a8c9-422f-ba3a-94745c70dc6e,N,0,0,0,1,2,APKN,0,,Y,Y,,8,7,1,1,1,1,1,,1,,1,1,1,,1,1,,,,,5.052631579,5.318181818,4,4,5,5,5,6,8,4,6,2,4,13,15,5,7,6,6,7,6,69,3,3,0,0,,0,1,18,0,19,0,14,5,4,0,5,0,4,0,0
,,,,F,,15,401,1,733985259,,80493afb-e539-4cfc-99f1-4a78350960c4,N,0,0,0,1,3,WBRI,0,,,Y,Y,10,11,1,1,1,1,,,1,1,1,1,1,1,,1,,,1,,5.473684211,5.681818182,5,4,4,4,5,8,7,6,5,2,5,15,15,6,6,7,8,7,5,74,3,2,0,0,,1,1,16,0,22,0,22,1,5,1,4,0,,,0
,,,,F,,15,401,1,727630477,,9b63fe49-9b96-4166-96ed-70e46143d8a6,N,1,0,1,1,3,WBRI,0,Y,,Y,Y,10,10,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,,5.421052632,5.863636364,4,5,4,5,6,5,8,8,2,7,5,11,15,7,7,8,6,7,6,69,3,3,0,0,,-1,2,22,1,20,0,19,2,7,1,,,5,1,0
,,,,F,,15,401,1,807182435,,19cc7ff2-5060-45d4-accb-decb842c1fef,K,0,0,0,2,3,AOTH,0,,,Y,Y,10,7,1,1,1,,,,1,1,1,1,1,1,,,,1,,,5.210526316,5.545454545,4,5,5,4,6,8,5,7,0,1,5,18,15,7,7,6,7,8,6,81,3,3,0,0,,1,0,21,0,19,0,17,2,6,0,,,,,0
,,,,M,,15,401,0,651372298,,b9ac7b13-9f80-4461-bb7f-1e3145d410d0,N,0,0,0,1,4,WBRI,0,,Y,,Y,8,10,1,1,1,1,,,,,,,,1,1,1,,1,1,,5.578947368,5.727272727,3,2,1,2,6,8,7,5,8,2,,17,14,6,8,5,8,7,6,70,2,2,,,,0,0,19,0,24,,25,0,,,6,0,,,0
,,,,M,,15,401,1,745202153,,e925cdf8-3b2e-48b7-9a01-ea5049b0de65,N,1,0,1,2,2,APKN,0,,,,Y,7,5,1,1,1,1,,,,,,,,,,,,,,,4.461538462,4.606060606,4,6,2,2,2,1,1,1,1,0,3,1,3,2,1,0,1,1,0,16,2,2,0,0,,0,-1,5,0,4,-1,0,5,2,-1,3,-1,,,0
,,,,F,,15,401,1,798706016,,fc45f038-a660-4389-90a4-a546dbc53614,N,0,0,0,1,3,WBRI,0,,,Y,Y,11,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,4.615384615,5.272727273,5,4,5,4,7,8,7,8,5,4,5,16,16,9,7,8,8,8,8,84,3,3,1,1,,1,0,25,1,25,3,20,4,7,1,5,1,6,0,0
,,,,F,,15,401,1,802796414,,7e81ba2a-c21a-4cb4-91c7-0fdcdfb2cd18,N,1,0,1,1,3,APKN,0,Y,,,,8,8,1,1,1,1,1,,1,1,,,1,1,,,1,1,,,5.421052632,5.863636364,5,4,3,3,5,6,2,6,4,4,4,13,7,7,6,6,6,5,3,55,3,3,0,0,,0,-3,20,0,12,-1,13,2,4,0,,,,,0
,,,,M,,15,401,1,794813873,,24091c17-3d4a-43ca-b5bd-4262a183460b,N,0,0,0,2,2,WBRI,0,Y,,Y,,8,7,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,,4.384615385,4.909090909,5,5,5,5,5,7,5,4,5,3,5,15,13,6,5,6,6,7,6,63,3,3,-1,-1,,0,0,19,0,19,-2,18,2,5,0,6,0,6,0,0
,,,,F,,15,401,1,645871752,,fc493cf8-b512-4a57-b1db-6c08979aeed2,N,0,0,0,1,3,BCRB,0,,,,,6,7,1,1,1,1,1,,1,1,,,,1,,,,1,,,4.923076923,5,5,5,4,4,3,3,2,0,3,1,5,6,4,3,1,3,4,2,3,40,3,3,0,0,,0,0,8,0,11,1,12,2,5,0,3,1,5,0,0
,,,,M,,15,401,1,581228915,,9f431998-a848-47ce-abad-97c3703ba6ca,E,0,0,0,2,1,WBRI,0,,,Y,Y,6,8,1,1,1,,,,1,1,1,1,,,1,,,,,,4.461538462,3.464285714,5,6,5,5,1,6,4,1,3,1,3,10,6,2,0,1,3,0,1,18,2,2,0,0,,1,1,4,0,6,0,6,2,3,0,4,1,3,-1,0
,,,,F,,15,401,1,783444273,,4e7375bd-a49d-4459-8f33-beb2657a2780,E,0,0,0,1,3,WBRI,0,Y,,Y,Y,8,9,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,5.473684211,5.727272727,5,5,4,4,6,9,7,6,9,1,4,18,14,6,7,6,8,7,5,74,3,3,1,1,,1,2,22,1,20,1,17,2,4,1,3,1,,,0
